time,Rear Driveshaft is broken,
0.035500001162291,false,
1.0750000551343,false,
2.1125001050532,false,
3.1475001499057,false,
4.1915001943707,false,
5.2460002340376,false,
6.2900002971292,false,
7.327500347048,false,
8.3855003677309,false,
9.4545004107058,false,
10.504500478506,false,
11.554500520229,false,
12.605000562966,false,
13.662500634789,false,
14.733000695705,false,
15.804000750184,false,
16.869500823319,false,
17.934500895441,false,
18.986000940204,false,
20.035500984639,false,
21.075501028448,false,
22.131001070142,false,
23.185001090169,false,
24.247501160949,false,
25.316501211375,false,
26.373001229018,false,
27.432501252741,false,
28.495001282543,false,
29.561001319438,false,
30.6295013614,false,
31.697001401335,false,
32.736501455307,false,
33.802501510829,false,
34.873501550406,false,
35.935501620173,false,
37.009501706809,false,
38.080001778901,false,
39.122501857579,false,
40.162001937628,false,
41.205002013594,false,
