time,vehicle x-position,vehicle y-position,vehicle z-position,velocity (m/s),revolutions per minute,roll (radians),pitch (radians),yaw (radians),water temperature (Celsius),velocity (m/s),rotation of the steering wheel,throttle,brake,clutch,airspeed,airflow speed,altitude,reverse,throttle,
0.035500001162291,5.9466974119147,-9.5165899394675,0.2957330225923,0.00011093625237468,725.14925375383,0.00070878583937883,-0.013780124485493,0.64970678091049,80.833210603173,0.00011093625237468,5.8058820908819e-11,0,0.3,0,0.00025842938048651,0.00016708425225308,0.29573997874616,0,0,
1.0750000551343,5.9466853521637,-9.5165932338193,0.29573189798295,0.0002924182881805,727.67174197303,0.00070891669020057,-0.013780236244202,0.6497061252594,80.83691128847,0.0002924182881805,1.4023869784739e-11,0,0.3,0,0.00022008880091749,0.00012631098589477,0.29573487370505,0,0,
2.1125001050532,5.946680075068,-9.5165932253101,0.29573383146478,0.00017955441339374,715.9698062324,0.0007130391895771,-0.01378236990422,0.6497049331665,80.841999011068,0.00017955441339374,-1.5145779367518e-11,0,0.3,0,0.00026840889426869,0.00016063971557529,0.29573870712994,0,0,
3.1475001499057,5.9699751302833,-9.5354311261399,0.29752288857253,0.29257904169763,1600.2067265958,-0.0093474993482232,-0.0082636419683695,0.6512838602066,80.853933497384,0.29257904169763,357.67421225218,1,0,0,0.14423191039755,0.11841824676255,0.29578184507545,0,1,
4.1915001943707,8.4164462082554,-10.52123417554,0.28442043270661,4.4270569624124,2596.010163399,-0.037402972579002,-0.0061185457743704,1.0792833566666,81.089748388596,4.4270569624124,720,1,0,0,4.0152221793335,3.8686889655587,0.28801992806816,0,1,
5.2460002340376,13.636332319351,-8.6109093746636,0.27294593698366,6.2113298342887,4388.5692063018,-0.056583680212498,-0.0084373094141483,2.1037385463715,81.712397846445,6.2113298342887,720,1,0,0,6.0633109709791,5.9459041334289,0.2741264048208,0,1,
6.2900002971292,16.072687453998,-2.006064721616,0.31468677475732,7.8567454836355,4588.0143333127,0.0032845879904926,0.0023412271402776,2.934802532196,82.651443117533,7.8567454836355,-84.444141975322,1,0,0,7.5135978632545,7.4427805986144,0.30778179992997,0,1,
7.327500347048,19.506558132241,7.3037466658279,0.2836231356705,11.642899031499,3804.0448471342,-0.048476584255695,0.0013137569185346,2.7927269935608,83.671393835479,11.642899031499,249.39656448891,1,0,0,11.023716513105,10.911800878252,0.29315896144159,0,1,
8.3855003677309,19.382736543426,20.081169298384,0.27299730743107,12.114287864027,5225.2297253191,-0.06482294946909,-0.0049114213325083,-2.6933267116547,84.670677346154,12.114287864027,404.40820935374,1,0,0,12.236853919924,12.27663223689,0.27291797911172,0,1,
9.4545004107058,12.270523699932,29.277758039301,0.27281237219086,9.8320092304351,5530.6040254951,-0.061151430010796,-0.0062451004050672,-1.8296893835068,85.529281514806,9.8320092304351,555.98798139737,1,0,0,10.192216706924,10.323163970639,0.27248428268901,0,1,
10.504500478506,2.7207730808295,31.482762639382,0.29651522827226,9.8530477644306,4813.0764447746,0.0077396933920681,-0.0093768527731299,-1.1576157808304,86.248155135476,9.8530477644306,-678.7447063776,1,0,0,9.6649248478559,9.6613059108682,0.29679029689929,0,1,
11.554500520229,-7.0945883532986,34.426621811697,0.32236438997643,9.4034005033936,5325.6809033941,0.040068335831165,-0.0052601406350732,-2.3850848674774,87.009757125446,9.4034005033936,54.277314467722,1,0,0,9.5172472904189,9.580956555237,0.32806163855833,0,1,
12.605000562966,-15.065328155179,41.156412314158,0.27359704141782,10.205851192538,949.5160120171,-0.0054972590878606,-0.021999271586537,-2.6879389286041,87.619239851996,10.205851192538,720,0,0,0,10.183590408721,10.084592507902,0.28090220382115,0,0,
13.662500634789,-23.087008225033,43.458568660775,0.26570261561392,5.976400768695,1353.5663427519,-0.061126992106438,-0.0085562355816364,-1.0053386688232,87.616747504358,5.976400768695,428.84842324609,0.97950007393956,0,0,6.6023657148681,6.7820347839842,0.26128788520663,0,0.97950007393956,
14.733000695705,-26.85264141683,39.298535895767,0.31643770961819,5.4305149949658,2600.7046806523,0.024194687604904,-0.0030809270683676,-0.27705243229866,87.573047202055,5.4305149949658,-719.99999951096,1,0,0,5.2834495403504,5.2248123932172,0.30392517210079,0,1,
15.804000750184,-32.33276312449,35.031090645352,0.29712361116071,8.3471043184028,4126.2871183434,-0.022963758558035,0.00015426171012223,-0.98385179042816,87.90425123165,8.3471043184028,137.2237882966,1,0,0,7.7469452830675,7.6434199529846,0.3043398383697,0,1,
16.869500823319,-39.000614483841,26.64146605134,0.28973180687899,11.231361245455,4324.3202017605,-0.029462546110153,-0.001780450809747,-0.39166134595871,88.59135580249,11.231361245455,5.9105909983496,1,0,0,11.004028181034,10.97013706005,0.28032405939744,0,1,
17.934500895441,-43.56767386361,13.806275477167,0.28487294051592,14.751834259197,3659.8287388245,-0.048943400382996,0.00063441140810028,-0.27848893404007,89.328353706025,14.751834259197,191.96832238241,1,0,0,14.190462904565,14.094496211595,0.2971439752763,0,1,
18.986000940204,-43.882222442655,-2.4909159401432,0.28651370461375,16.226433226656,4800.4133098104,-0.034129351377487,-0.0006249473663047,0.30338236689568,89.809678946075,16.226433226656,-58.92787376313,1,0,0,16.032811711184,16.011961850004,0.28820015748209,0,1,
20.035500984639,-37.801859795582,-19.526527186856,0.28571849283981,18.609111316797,4423.9889527756,-0.058057799935341,0.0015623470535502,0.51617711782455,90.121933863385,18.609111316797,216.09697877057,1,0,0,18.284740271748,18.227621877177,0.28708479068343,0,1,
